Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
CHEM 111,,73,B,,,BSC-O,1,3,
COSC 305,,73,B,,,BSC-O,3,3,
STAT 406,,,,,1,BSC-O,4,3,
STAT 303,,68,B-,,,BSC-O,3,3,
MATH 319,,73,B,,,BSC-O,3,3,
COSC 121,,69,B-,,,BSC-O,1,3,
COSC 221,,78,B+,,,BSC-O,2,3,
COSC 122,,,,,1,BSC-O,1,3,
PHYS 418,,69,B-,,,BSC-O,4,3,
COSC 344,,78,B+,,,BSC-O,3,3,
MATH 100,,75,B,,,BSC-O,1,3,
MATH 101,,76,B+,,,BSC-O,1,3,
PHYS 215,,67,C+,,,BSC-O,2,3,
MATH 200,,69,B-,,,BSC-O,2,3,
PHYS 216,,82,A-,,,BSC-O,2,3,
PHYS 112,,68,B-,,,BSC-O,1,3,
PHYS 231,,71,B-,,,BSC-O,2,3,
PHYS 111,,78,B+,,,BSC-O,1,3,
PHYS 232,,79,B+,,,BSC-O,2,3,
PHYS 331,,80,A-,,,BSC-O,3,3,
STAT 230,,,,,1,BSC-O,2,3,
CHEM 123,,78,B+,,,BSC-O,1,3,
CHEM 121,,74,B,,,BSC-O,1,3,
MATH 327,,68,B-,,,BSC-O,3,3,
MATH 307,,75,B,,,BSC-O,3,3,
COSC 111,,80,A-,,,BSC-O,1,3,
MATH 215,,81,A-,,,BSC-O,2,3,
MATH 216,,74,B,,,BSC-O,2,3,
MATH 231,,80,A-,,,BSC-O,2,3,
MATH 232,,74,B,,,BSC-O,2,3,
PHYS 328,,75,B,,,BSC-O,3,3,
PHYS 402,,70,B-,,,BSC-O,4,3,
PHYS 304,,76,B+,,,BSC-O,3,3,
MATH 311,,75,B,,,BSC-O,3,3,
PHYS 301,,79,B+,,,BSC-O,3,3,
PHYS 401,,78,B+,,,BSC-O,4,3,
CHEM 113,,68,B-,,,BSC-O,1,3,
PHYS 200,,70,B-,,,BSC-O,2,3,
PHYS 121,,73,B,,,BSC-O,1,3,
DATA 405,,,,,1,BSC-O,4,3,
PHYS 122,,79,B+,,,BSC-O,1,3,
